Rank,Strength
332100,638
332400,639
332500,640
332600,641
332700,642
332800,643
332900,644
341200,645
341300,646
341500,647
341600,648
341700,649
341800,650
341900,651
342100,652
342300,653
342500,654
342600,655
342700,656
342800,657
342900,658
343100,659
343200,660
343500,661
343600,662
343700,663
343800,664
343900,665
351200,666
351300,667
351400,668
351600,669
351700,670
351800,671
351900,672
352100,673
352300,674
352400,675
352600,676
352700,677
352800,678
352900,679
353100,680
353200,681
353400,682
353600,683
353700,684
353800,685
353900,686
354100,687
354200,688
354300,689
354600,690
354700,691
354800,692
354900,693
361200,694
361300,695
361400,696
361500,697
361700,698
361800,699
361900,700
362100,701
362300,702
362400,703
362500,704
362700,705
362800,706
362900,707
363100,708
363200,709
363400,710
363500,711
363700,712
363800,713
363900,714
364100,715
364200,716
364300,717
364500,718
364700,719
364800,720
364900,721
365100,722
365200,723
365300,724
365400,725
365700,726
365800,727
365900,728
371200,729
371300,730
371400,731
371500,732
371600,733
371800,734
371900,735
372100,736
372300,737
372400,738
372500,739
372600,740
372800,741
372900,742
373100,743
373200,744
373400,745
373500,746
373600,747
373800,748
373900,749
374100,750
374200,751
374300,752
374500,753
374600,754
374800,755
374900,756
375100,757
375200,758
375300,759
375400,760
375600,761
375800,762
375900,763
376100,764
376200,765
376300,766
376400,767
376500,768
376800,769
376900,770
381200,771
381300,772
381400,773
381500,774
381600,775
381700,776
381900,777
382100,778
382300,779
382400,780
382500,781
382600,782
382700,783
382900,784
383100,785
383200,786
383400,787
383500,788
383600,789
383700,790
383900,791
384100,792
384200,793
384300,794
384500,795
384600,796
384700,797
384900,798
385100,799
385200,800
385300,801
385400,802
385600,803
385700,804
385900,805
386100,806
386200,807
386300,808
386400,809
386500,810
386700,811
386900,812
387100,813
387200,814
387300,815
387400,816
387500,817
387600,818
387900,819
391200,820
391300,821
391400,822
391500,823
391600,824
391700,825
391800,826
392100,827
392300,828
392400,829
392500,830
392600,831
392700,832
392800,833
393100,834
393200,835
393400,836
393500,837
393600,838
393700,839
393800,840
394100,841
394200,842
394300,843
394500,844
394600,845
394700,846
394800,847
395100,848
395200,849
395300,850
395400,851
395600,852
395700,853
395800,854
396100,855
396200,856
396300,857
396400,858
396500,859
396700,860
396800,861
397100,862
397200,863
397300,864
397400,865
397500,866
397600,867
397800,868
398100,869
398200,870
398300,871
398400,872
398500,873
398600,874
398700,875
413200,876
414200,877
414300,878
415200,879
415300,880
415400,881
416200,882
416300,883
416400,884
416500,885
417200,886
417300,887
417400,888
417500,889
417600,890
418200,891
418300,892
418400,893
418500,894
418600,895
418700,896
419200,897
419300,898
419400,899
419500,900
419600,901
419700,902
419800,903
423100,904
424100,905
424300,906
425100,907
425300,908
425400,909
426100,910
426300,911
426400,912
426500,913
427100,914
427300,915
427400,916
427500,917
427600,918
428100,919
428300,920
428400,921
428500,922
428600,923
428700,924
429100,925
429300,926
429400,927
429500,928
429600,929
429700,930
429800,931
432100,932
434100,933
434200,934
435100,935
435200,936
435400,937
436100,938
436200,939
436400,940
436500,941
437100,942
437200,943
437400,944
437500,945
437600,946
438100,947
438200,948
438400,949
438500,950
438600,951
438700,952
439100,953
439200,954
439400,955
439500,956
439600,957
439700,958
439800,959
442100,960
443100,961
443200,962
445100,963
445200,964
445300,965
446100,966
446200,967
446300,968
446500,969
447100,970
447200,971
447300,972
447500,973
447600,974
448100,975
448200,976
448300,977
448500,978
448600,979
448700,980
449100,981
449200,982
449300,983
449500,984
449600,985
449700,986
449800,987
452100,988
453100,989
453200,990
454100,991
454200,992
454300,993
456100,994
456200,995
456300,996
456400,997
457100,998
457200,999
457300,1000
457400,1001
457600,1002
458100,1003
458200,1004
458300,1005
458400,1006
458600,1007
458700,1008
459100,1009
459200,1010
459300,1011
459400,1012
459600,1013
459700,1014
459800,1015
462100,1016
463100,1017
463200,1018
464100,1019
464200,1020
464300,1021
465100,1022
465200,1023
465300,1024
465400,1025
467100,1026
467200,1027
467300,1028
467400,1029
467500,1030
468100,1031
468200,1032
468300,1033
468400,1034
468500,1035
468700,1036
469100,1037
469200,1038
469300,1039
469400,1040
469500,1041
469700,1042
469800,1043
472100,1044
473100,1045
473200,1046
474100,1047
474200,1048
474300,1049
475100,1050
475200,1051
475300,1052
475400,1053
476100,1054
476200,1055
476300,1056
476400,1057
476500,1058
478100,1059
478200,1060
478300,1061
478400,1062
478500,1063
478600,1064
479100,1065
479200,1066
479300,1067
479400,1068
479500,1069
479600,1070
479800,1071
482100,1072
483100,1073
483200,1074
484100,1075
484200,1076
484300,1077
485100,1078
485200,1079
485300,1080
485400,1081
486100,1082
486200,1083
486300,1084
486400,1085
486500,1086
487100,1087
487200,1088
487300,1089
487400,1090
487500,1091
487600,1092
489100,1093
489200,1094
489300,1095
489400,1096
489500,1097
489600,1098
489700,1099
492100,1100
493100,1101
493200,1102
494100,1103
494200,1104
494300,1105
495100,1106
495200,1107
495300,1108
495400,1109
496100,1110
496200,1111
496300,1112
496400,1113
496500,1114
497100,1115
497200,1116
497300,1117
497400,1118
497500,1119
497600,1120
498100,1121
498200,1122
498300,1123
498400,1124
498500,1125
498600,1126
498700,1127
543219,1128
554321,1129
565432,1130
576543,1131
587654,1132
598765,1133
612000,1134
613000,1135
614000,1136
615000,1137
616000,1138
617000,1139
618000,1140
619000,1141
621000,1142
623000,1143
624000,1144
625000,1145
626000,1146
627000,1147
628000,1148
629000,1149
631000,1150
632000,1151
634000,1152
635000,1153
636000,1154
637000,1155
638000,1156
639000,1157
641000,1158
642000,1159
643000,1160
645000,1161
646000,1162
647000,1163
648000,1164
649000,1165
651000,1166
652000,1167
653000,1168
654000,1169
656000,1170
657000,1171
658000,1172
659000,1173
661000,1174
662000,1175
663000,1176
664000,1177
665000,1178
667000,1179
668000,1180
669000,1181
671000,1182
672000,1183
673000,1184
674000,1185
675000,1186
676000,1187
678000,1188
679000,1189
681000,1190
682000,1191
683000,1192
684000,1193
685000,1194
686000,1195
687000,1196
689000,1197
691000,1198
692000,1199
693000,1200
694000,1201
695000,1202
696000,1203
697000,1204
698000,1205
764321,1206
765321,1207
765421,1208
765431,1209
774321,1210
775321,1211
775421,1212
775431,1213
775432,1214
776321,1215
776421,1216
776431,1217
776432,1218
776521,1219
776531,1220
776532,1221
776541,1222
776542,1223
784321,1224
785321,1225
785421,1226
785431,1227
785432,1228
786321,1229
786421,1230
786431,1231
786432,1232
786521,1233
786531,1234
786532,1235
786541,1236
786542,1237
786543,1238
787321,1239
787421,1240
787431,1241
787432,1242
787521,1243
787531,1244
787532,1245
787541,1246
787542,1247
787543,1248
787621,1249
787631,1250
787632,1251
787641,1252
787642,1253
787643,1254
787651,1255
787652,1256
787653,1257
795321,1258
795421,1259
795431,1260
795432,1261
796321,1262
796421,1263
796431,1264
796432,1265
796521,1266
796531,1267
796532,1268
796541,1269
796542,1270
796543,1271
797321,1272
797421,1273
797431,1274
797432,1275
797521,1276
797531,1277
797532,1278
797541,1279
797542,1280
797543,1281
797621,1282
797631,1283
797632,1284
797641,1285
797642,1286
797643,1287
797651,1288
797652,1289
797653,1290
797654,1291
798321,1292
798421,1293
798431,1294
798432,1295
798521,1296
798531,1297
798532,1298
798541,1299
798542,1300
798543,1301
798621,1302
798631,1303
798632,1304
798641,1305
798642,1306
798643,1307
798651,1308
798652,1309
798653,1310
798654,1311
798721,1312
798731,1313
798732,1314
798741,1315
798742,1316
798743,1317
798751,1318
798752,1319
798753,1320
798754,1321
798761,1322
798762,1323
798763,1324
798764,1325
812000,1326
813000,1327
814000,1328
815000,1329
816000,1330
817000,1331
818000,1332
819000,1333
821000,1334
823000,1335
824000,1336
825000,1337
826000,1338
827000,1339
828000,1340
829000,1341
831000,1342
832000,1343
834000,1344
835000,1345
836000,1346
837000,1347
838000,1348
839000,1349
841000,1350
842000,1351
843000,1352
845000,1353
846000,1354
847000,1355
848000,1356
849000,1357
851000,1358
852000,1359
853000,1360
854000,1361
856000,1362
857000,1363
858000,1364
859000,1365
861000,1366
862000,1367
863000,1368
864000,1369
865000,1370
867000,1371
868000,1372
869000,1373
871000,1374
872000,1375
873000,1376
874000,1377
875000,1378
876000,1379
878000,1380
879000,1381
881000,1382
882000,1383
883000,1384
884000,1385
885000,1386
886000,1387
887000,1388
889000,1389
891000,1390
892000,1391
893000,1392
894000,1393
895000,1394
896000,1395
897000,1396
898000,1397
943219,1398
954321,1399
965432,1400
976543,1401
987654,1402
998765,1403
